timestamp,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
1731089094.84005499,13239305,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089094.88009501,13279345,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089094.92011189,13319362,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089094.96007204,13359322,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.00025988,13399510,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.04001307,13439263,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.08004189,13479292,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.12008405,13519334,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.16002393,13559274,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.20012188,13599372,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.24053192,13639782,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.28002691,13679277,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.32011294,13719363,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.36004400,13759294,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.40012598,13799376,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.44005489,13839305,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.48003888,13879289,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.51998305,13919233,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.56014585,13959396,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.60026407,13999514,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.64004397,14039294,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.68005705,14079307,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.72011399,14119364,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.76010394,14159354,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.80010486,14199355,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.84004903,14239299,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.88002706,14279277,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.92006898,14319319,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089095.96010494,14359355,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.00019288,14399443,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.04003692,14439287,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.08002901,14479279,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.12005591,14519306,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.16003704,14559287,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.20011306,14599363,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.24050999,14639760,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.28002906,14679279,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.32008290,14719333,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.36003089,14759281,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.40011501,14799365,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.44002604,14839276,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.48001409,14879264,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.52007508,14919325,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.56004786,14959298,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.60014200,14999392,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.64003801,15039288,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.67999506,15079245,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.72001100,15119261,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.76011586,15159366,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.80010605,15199356,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.84003305,15239283,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.88000298,15279253,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.92007494,15319325,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089096.96006799,15359318,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.00019288,15399443,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.03997207,15439222,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.08014798,15479398,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.12004995,15519300,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.16003609,15559286,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.20011806,15599368,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.24052501,15639775,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.28003097,15679281,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.32008696,15719337,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
1731089097.36004400,15759294,1496,1496,1100,1496,0,0,0,0,0,0,0,0,0,0
